datetime,T_outdoor,T_wb,solar,T_room,cooling_load_kW,chiller_power_kW,chw_pump_power_kW,cw_pump_power_kW,ct_fan_power_kW,terminal_fan_power_kW,total_power_kW,chiller_PLR,chiller_COP,T_chw_supply,T_cw_supply,pipe_heat_gain_kW
2024-07-06 00:53:00,8.231788704991294,3.576331306397842,0.0,7.546120781403723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:54:00,8.230812515874064,2.612442927388992,0.0,7.783489711909901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:55:00,6.39861722614054,2.330074583122555,0.0,7.303382118543379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:56:00,6.805754521332085,1.9265485290659485,0.0,7.130864583142167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:57:00,5.90141676363265,1.118433108798137,0.0,6.704639613074608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:58:00,7.201545684394517,2.8867927262959383,0.0,6.876907009879794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:59:00,7.455915507068641,2.2423712536563265,0.0,7.0776376756852235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:00:00,6.884370532522054,1.5432226524132562,0.0,7.010635822493416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:01:00,7.868285298420925,3.0711092414351513,0.0,7.307965742807965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:02:00,7.161038163953116,2.6225552500811937,0.0,7.257028889770566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
